request_id,vehicle_id,user_id,arrival_time,departure_time,battery_capacity_kwh,initial_soc,required_energy_kwh,max_charging_power_kw,charger_type,priority_category,scenario,request_timestamp,vehicle_type
REQ-4FFE032A,EV-074,EMP-074,2024-03-11T08:04:00,2024-03-11T17:03:57.511370,40,0.33,22.1,22,AC,standard,normal,2024-03-11T00:04:17.357273,Nissan Leaf
REQ-DE9640A1,EV-070,EMP-070,2024-03-11T12:53:00,2024-03-11T15:52:42.738424,52,0.11,26.7,22,AC,standard,normal,2024-03-11T04:41:04.403833,Renault Zoe
REQ-62622A64,EV-024,EMP-024,2024-03-11T09:26:00,2024-03-11T16:10:45.554224,75,0.6,17.5,50,DC,standard,normal,2024-03-11T00:19:55.878009,Tesla Model 3
REQ-5F6CC608,EV-052,EMP-052,2024-03-11T08:38:00,2024-03-11T17:22:07.460872,77,0.17,32.8,50,DC,standard,normal,2024-03-11T00:20:37.822324,Hyundai Ioniq 5
REQ-8EBB012B,EV-049,EMP-049,2024-03-11T16:11:00,2024-03-11T21:00:00,82,0.15,58.9,50,DC,standard,normal,2024-03-11T14:30:41.285955,Tesla Model Y
REQ-FFF9EBF2,EV-013,EMP-013,2024-03-11T12:42:00,2024-03-11T18:42:11.113600,77,0.18,62.6,50,DC,standard,normal,2024-03-11T08:12:25.764116,VW ID.4
REQ-BA1B3E2D,EV-062,EMP-062,2024-03-11T09:44:00,2024-03-11T15:01:40.941321,52,0.32,32.7,22,AC,standard,normal,2024-03-11T08:01:10.690755,Renault Zoe
REQ-090F5726,EV-044,EMP-044,2024-03-11T16:54:00,2024-03-11T21:00:00,77,0.56,24.3,50,DC,standard,normal,2024-03-11T05:17:49.387527,Hyundai Ioniq 5
REQ-8BAC62E4,EV-063,EMP-063,2024-03-11T08:36:00,2024-03-11T14:08:10.668474,77,0.41,32.6,50,DC,standard,normal,2024-03-11T05:00:48.424725,Kia EV6
REQ-9E410746,EV-043,EMP-043,2024-03-11T14:39:00,2024-03-11T16:47:59.898248,42,0.67,8.6,22,AC,standard,normal,2024-03-11T07:07:52.267445,BMW i3
REQ-DD3111DA,EV-001,EMP-001,2024-03-11T09:03:00,2024-03-11T16:55:55.726580,82,0.22,38.8,50,DC,standard,normal,2024-03-11T04:38:09.971893,Tesla Model Y
REQ-39645DBC,EV-026,EMP-026,2024-03-11T14:24:00,2024-03-11T17:58:19.251545,40,0.11,34.7,22,AC,standard,normal,2024-03-11T05:37:08.908906,Nissan Leaf
REQ-AB203A39,EV-002,EMP-002,2024-03-11T10:30:00,2024-03-11T17:10:46.452165,40,0.52,14.3,22,AC,standard,normal,2024-03-11T08:55:47.591287,Nissan Leaf
REQ-9F845315,EV-075,EMP-075,2024-03-11T08:23:00,2024-03-11T12:10:47.562814,42,0.48,16.1,22,AC,standard,normal,2024-03-11T02:59:24.142154,BMW i3
REQ-B18749AC,EV-071,EMP-071,2024-03-11T11:39:00,2024-03-11T18:25:17.083439,77,0.28,34.7,50,DC,standard,normal,2024-03-11T08:56:07.010251,Kia EV6
REQ-341AA94A,EV-067,EMP-067,2024-03-11T08:04:00,2024-03-11T15:16:59.119456,42,0.22,19.9,22,AC,standard,normal,2024-03-10T23:14:02.180955,BMW i3
REQ-FDEA4F35,EV-025,EMP-025,2024-03-11T16:34:00,2024-03-11T20:11:20.964988,82,0.17,40.6,50,DC,emergency,normal,2024-03-11T14:00:11.120091,Tesla Model Y
REQ-03CDCF55,EV-005,EMP-005,2024-03-11T08:04:00,2024-03-11T11:37:26.405823,77,0.73,16.1,50,DC,standard,normal,2024-03-11T06:06:52.028992,VW ID.4
REQ-D2D2A976,EV-071,EMP-071,2024-03-11T13:58:00,2024-03-11T21:00:00,77,0.47,30.0,50,DC,standard,normal,2024-03-11T11:20:47.344046,Kia EV6
REQ-3E593984,EV-076,EMP-076,2024-03-11T08:52:00,2024-03-11T13:56:58.688056,77,0.63,20.0,50,DC,standard,normal,2024-03-11T01:07:40.947732,Hyundai Ioniq 5
REQ-803E9F0A,EV-007,EMP-007,2024-03-11T07:17:00,2024-03-11T13:00:16.669121,77,0.3,53.7,50,DC,priority,normal,2024-03-10T21:59:32.041363,Kia EV6
REQ-E2A0548B,EV-039,EMP-039,2024-03-11T12:34:00,2024-03-11T15:45:33.552701,77,0.44,31.3,50,DC,priority,normal,2024-03-11T02:10:29.100035,Kia EV6
REQ-864CE467,EV-006,EMP-006,2024-03-11T15:54:00,2024-03-11T21:00:00,52,0.5,22.6,22,AC,standard,normal,2024-03-11T13:00:37.580699,Renault Zoe
REQ-2621DF3E,EV-061,EMP-061,2024-03-11T08:19:00,2024-03-11T10:59:40.541521,77,0.21,160.7,50,DC,emergency,normal,2024-03-11T02:38:09.146629,VW ID.4
REQ-33101636,EV-062,EMP-062,2024-03-11T09:34:00,2024-03-11T12:48:09.858333,52,0.56,19.5,22,AC,standard,normal,2024-03-11T01:09:42.264309,Renault Zoe
REQ-6010BFCA,EV-011,EMP-011,2024-03-11T17:21:00,2024-03-11T21:00:00,42,0.53,19.1,22,AC,standard,normal,2024-03-11T10:35:15.117521,BMW i3
REQ-8BCE52B2,EV-039,EMP-039,2024-03-11T12:49:00,2024-03-11T20:30:59.041311,77,0.15,38.2,50,DC,priority,normal,2024-03-11T03:42:13.150306,Kia EV6
REQ-D5395061,EV-044,EMP-044,2024-03-11T09:34:00,2024-03-11T11:59:57.548771,77,0.55,29.4,50,DC,standard,normal,2024-03-11T03:18:40.451867,Hyundai Ioniq 5
REQ-9327F186,EV-022,EMP-022,2024-03-11T09:09:00,2024-03-11T10:56:56.241173,52,0.38,21.3,22,AC,standard,normal,2024-03-11T07:35:59.066893,Renault Zoe
REQ-92871021,EV-070,EMP-070,2024-03-11T17:30:00,2024-03-11T21:00:00,52,0.72,14.6,22,AC,standard,normal,2024-03-11T13:54:02.243525,Renault Zoe
REQ-077248B0,EV-034,EMP-034,2024-03-11T08:30:00,2024-03-11T13:31:43.522228,40,0.52,18.4,22,AC,emergency,normal,2024-03-11T01:16:07.353513,Nissan Leaf
REQ-EB100F03,EV-017,EMP-017,2024-03-11T11:59:00,2024-03-11T14:10:03.544970,82,0.33,36.6,50,DC,standard,normal,2024-03-11T01:37:09.849892,Tesla Model Y
REQ-F35589D8,EV-044,EMP-044,2024-03-11T08:23:00,2024-03-11T12:02:41.880475,77,0.71,20.2,50,DC,standard,normal,2024-03-11T02:39:10.207384,Hyundai Ioniq 5
REQ-3B249AB9,EV-059,EMP-059,2024-03-11T07:38:00,2024-03-11T16:24:34.987624,42,0.36,20.4,22,AC,standard,normal,2024-03-10T23:34:12.860000,BMW i3
REQ-42BC44A4,EV-017,EMP-017,2024-03-11T09:49:00,2024-03-11T12:43:24.728618,82,0.34,47.5,50,DC,standard,normal,2024-03-11T00:34:36.391807,Tesla Model Y
REQ-BB35A0F1,EV-025,EMP-025,2024-03-11T08:05:00,2024-03-11T16:32:27.164543,82,0.38,43.2,50,DC,emergency,normal,2024-03-10T20:23:31.721825,Tesla Model Y
REQ-1004FBA6,EV-080,EMP-080,2024-03-11T11:28:00,2024-03-11T14:09:16.210423,75,0.46,31.4,50,DC,standard,normal,2024-03-10T23:33:20.554429,Tesla Model 3
REQ-B7DC8E63,EV-052,EMP-052,2024-03-11T13:55:00,2024-03-11T16:17:51.586025,77,0.64,20.8,50,DC,standard,normal,2024-03-11T07:33:52.698576,Hyundai Ioniq 5
REQ-63ECB0A4,EV-036,EMP-036,2024-03-11T08:40:00,2024-03-11T17:31:06.605080,77,0.26,44.2,50,DC,standard,normal,2024-03-10T21:33:54.658593,Hyundai Ioniq 5
REQ-3329FE89,EV-042,EMP-042,2024-03-11T10:45:00,2024-03-11T18:43:48.727230,40,0.28,25.8,22,AC,standard,normal,2024-03-10T23:30:22.116502,Nissan Leaf
REQ-005AD574,EV-010,EMP-010,2024-03-11T10:38:00,2024-03-11T14:15:16.652549,40,0.29,22.5,22,AC,standard,normal,2024-03-11T04:30:08.889648,Nissan Leaf
REQ-DC41FAA9,EV-018,EMP-018,2024-03-11T08:04:00,2024-03-11T12:09:18.346426,40,0.46,16.7,22,AC,standard,normal,2024-03-11T03:51:58.417701,Nissan Leaf
REQ-A740BAF8,EV-028,EMP-028,2024-03-11T08:23:00,2024-03-11T14:10:18.536334,77,0.25,347.3,50,DC,standard,normal,2024-03-10T23:19:09.206725,Hyundai Ioniq 5
REQ-54E07DB5,EV-048,EMP-048,2024-03-11T12:37:00,2024-03-11T17:00:44.126317,75,0.53,32.1,50,DC,standard,normal,2024-03-11T06:25:13.393906,Tesla Model 3
REQ-ACAEA753,EV-019,EMP-019,2024-03-11T08:00:00,2024-03-11T13:55:34.871591,42,0.67,13.0,22,AC,priority,normal,2024-03-11T01:27:05.625006,BMW i3
REQ-97ECE609,EV-018,EMP-018,2024-03-11T10:26:00,2024-03-11T15:00:29.422733,40,0.53,10.9,22,AC,standard,normal,2024-03-10T22:47:14.969694,Nissan Leaf
REQ-6B3DD36A,EV-006,EMP-006,2024-03-11T08:23:00,2024-03-11T14:45:25.589620,52,0.65,16.9,22,AC,standard,normal,2024-03-11T03:30:47.610943,Renault Zoe
REQ-CF3CB80C,EV-051,EMP-051,2024-03-11T08:26:00,2024-03-11T15:37:43.848852,42,0.67,7.2,22,AC,standard,normal,2024-03-11T00:40:29.933902,BMW i3
REQ-1C76F4FC,EV-019,EMP-019,2024-03-11T17:59:00,2024-03-11T21:00:00,42,0.38,14.3,22,AC,priority,normal,2024-03-11T07:26:55.219770,BMW i3
REQ-AEAF4E17,EV-073,EMP-073,2024-03-11T10:23:00,2024-03-11T18:39:32.449675,82,0.13,64.1,50,DC,priority,normal,2024-03-11T05:34:21.578883,Tesla Model Y
REQ-4F1FA6B5,EV-069,EMP-069,2024-03-11T08:03:00,2024-03-11T13:47:40.057672,77,0.62,17.1,50,DC,standard,normal,2024-03-10T21:32:07.240616,VW ID.4
REQ-EE2724BC,EV-006,EMP-006,2024-03-11T11:28:00,2024-03-11T19:48:46.383433,52,0.19,30.8,22,AC,standard,normal,2024-03-11T08:01:49.474282,Renault Zoe
REQ-4CABD50A,EV-020,EMP-020,2024-03-11T08:36:00,2024-03-11T16:51:32.654437,77,0.54,20.5,50,DC,standard,normal,2024-03-11T04:07:33.583148,Hyundai Ioniq 5
REQ-6C1C8860,EV-054,EMP-054,2024-03-11T10:16:00,2024-03-11T14:56:56.341338,52,0.26,35.5,22,AC,priority,normal,2024-03-11T05:20:33.699493,Renault Zoe
REQ-C048A94C,EV-018,EMP-018,2024-03-11T09:28:00,2024-03-11T15:15:21.912693,40,0.47,21.1,22,AC,standard,normal,2024-03-10T21:43:13.098339,Nissan Leaf
REQ-BC555EFB,EV-011,EMP-011,2024-03-11T11:32:00,2024-03-11T17:16:40.083458,42,0.55,151.7,22,AC,standard,normal,2024-03-11T04:03:34.771187,BMW i3
REQ-ADD376FD,EV-075,EMP-075,2024-03-11T10:48:00,2024-03-11T14:26:47.242089,42,0.62,12.8,22,AC,standard,normal,2024-03-11T02:58:44.019851,BMW i3
REQ-493C474F,EV-046,EMP-046,2024-03-11T12:21:00,2024-03-11T19:15:25.066170,52,0.53,22.5,22,AC,standard,normal,2024-03-11T01:27:39.086651,Renault Zoe
REQ-82F03C95,EV-038,EMP-038,2024-03-11T11:37:00,2024-03-11T16:25:22.226134,52,0.48,23.4,22,AC,standard,normal,2024-03-11T07:43:22.427303,Renault Zoe
REQ-60A7A4CA,EV-063,EMP-063,2024-03-11T11:21:00,2024-03-11T13:50:28.314539,77,0.45,41.7,50,DC,standard,normal,2024-03-11T00:20:41.639256,Kia EV6
REQ-1465FB80,EV-065,EMP-065,2024-03-11T13:30:00,2024-03-11T21:00:00,82,0.41,43.7,50,DC,priority,normal,2024-03-11T09:06:17.188493,Tesla Model Y
REQ-561F84AE,EV-016,EMP-016,2024-03-11T08:55:00,2024-03-11T11:28:20.439405,75,0.73,18.8,50,DC,standard,normal,2024-03-10T21:08:50.391149,Tesla Model 3
REQ-1F3C1178,EV-008,EMP-008,2024-03-11T17:24:00,2024-03-11T21:00:00,75,0.61,14.8,50,DC,standard,normal,2024-03-11T11:40:11.858452,Tesla Model 3
REQ-07886A8C,EV-035,EMP-035,2024-03-11T12:20:00,2024-03-11T18:13:03.122475,42,0.63,15.1,22,AC,standard,normal,2024-03-11T09:08:39.773248,BMW i3
REQ-C37A06B7,EV-034,EMP-034,2024-03-11T08:46:00,2024-03-11T14:28:37.999321,40,0.69,7.6,22,AC,emergency,normal,2024-03-10T22:47:32.388452,Nissan Leaf
REQ-70B18468,EV-038,EMP-038,2024-03-11T13:36:00,2024-03-11T18:09:43.988106,52,0.19,41.0,22,AC,standard,normal,2024-03-11T07:26:05.340774,Renault Zoe
REQ-EA5E0B31,EV-059,EMP-059,2024-03-11T08:46:00,2024-03-11T11:17:02.929315,42,0.39,21.4,22,AC,standard,normal,2024-03-10T21:23:16.672849,BMW i3
REQ-B8188F50,EV-054,EMP-054,2024-03-11T10:29:00,2024-03-11T13:08:32.118365,52,0.37,18.0,22,AC,priority,normal,2024-03-11T05:17:24.002332,Renault Zoe
REQ-CE501487,EV-079,EMP-079,2024-03-11T15:05:00,2024-03-11T19:21:44.308886,77,0.39,45.8,50,DC,standard,normal,2024-03-11T13:26:26.718541,Kia EV6
REQ-6B6476D3,EV-008,EMP-008,2024-03-11T12:05:00,2024-03-11T20:55:01.748295,75,0.33,35.1,50,DC,standard,normal,2024-03-11T10:10:42.587630,Tesla Model 3
REQ-1BA62E8E,EV-033,EMP-033,2024-03-11T13:54:00,2024-03-11T20:22:14.755928,82,0.52,388.2,50,DC,standard,normal,2024-03-11T04:21:06.703955,Tesla Model Y
REQ-008CFC1E,EV-028,EMP-028,2024-03-11T07:15:00,2024-03-11T12:59:03.605350,77,0.14,58.4,50,DC,standard,normal,2024-03-11T04:15:59.614031,Hyundai Ioniq 5
REQ-ED45E98C,EV-069,EMP-069,2024-03-11T13:39:00,2024-03-11T16:15:23.962858,77,0.69,12.0,50,DC,standard,normal,2024-03-11T11:29:09.917615,VW ID.4
REQ-2051B9D0,EV-020,EMP-020,2024-03-11T07:30:00,2024-03-11T10:18:31.422264,77,0.53,168.5,50,DC,standard,normal,2024-03-10T21:54:54.634901,Hyundai Ioniq 5
REQ-F9975286,EV-016,EMP-016,2024-03-11T07:38:00,2024-03-11T10:26:24.647438,75,0.13,56.8,50,DC,standard,normal,2024-03-10T22:33:29.457614,Tesla Model 3
REQ-374DF38D,EV-036,EMP-036,2024-03-11T10:33:00,2024-03-11T15:53:57.424855,77,0.17,48.1,50,DC,standard,normal,2024-03-11T09:33:04.687472,Hyundai Ioniq 5
REQ-94C87849,EV-034,EMP-034,2024-03-11T12:44:00,2024-03-11T18:08:39.182797,40,0.4,23.6,22,AC,emergency,normal,2024-03-11T06:43:30.148885,Nissan Leaf
REQ-BFD7F15A,EV-023,EMP-023,2024-03-11T10:22:00,2024-03-11T15:32:37.259062,77,0.69,12.8,50,DC,standard,normal,2024-03-11T02:52:16.486662,Kia EV6
REQ-70D046A9,EV-020,EMP-020,2024-03-11T07:33:00,2024-03-11T13:47:53.071556,77,0.46,27.6,50,DC,standard,normal,2024-03-11T00:56:54.946930,Hyundai Ioniq 5
REQ-A64CB128,EV-074,EMP-074,2024-03-11T10:12:00,2024-03-11T12:26:37.818465,40,0.56,16.3,22,AC,standard,normal,2024-03-11T00:51:24.942974,Nissan Leaf
REQ-95396B95,EV-036,EMP-036,2024-03-11T11:25:00,2024-03-11T16:18:11.982731,77,0.25,38.7,50,DC,standard,normal,2024-03-11T06:07:58.028479,Hyundai Ioniq 5
REQ-E1723D45,EV-069,EMP-069,2024-03-11T07:51:00,2024-03-11T14:20:17.912303,77,0.34,29.3,50,DC,standard,normal,2024-03-11T06:34:40.681043,VW ID.4
REQ-2A07CE50,EV-045,EMP-045,2024-03-11T13:11:00,2024-03-11T15:24:27.239679,77,0.58,29.3,50,DC,standard,normal,2024-03-11T05:56:20.345575,VW ID.4
REQ-F4FED7AB,EV-005,EMP-005,2024-03-11T09:39:00,2024-03-11T12:04:00.244705,77,0.33,43.0,50,DC,standard,normal,2024-03-10T23:10:00.985037,VW ID.4
REQ-C30A5AFB,EV-080,EMP-080,2024-03-11T12:56:00,2024-03-11T18:56:11.072463,75,0.33,39.6,50,DC,standard,normal,2024-03-11T04:52:51.117056,Tesla Model 3
REQ-39883064,EV-067,EMP-067,2024-03-11T07:12:00,2024-03-11T15:02:25.082302,42,0.34,24.4,22,AC,standard,normal,2024-03-10T21:25:01.035234,BMW i3
REQ-DF1FAF87,EV-078,EMP-078,2024-03-11T14:56:00,2024-03-11T21:00:00,52,0.5,160.2,22,AC,standard,normal,2024-03-11T03:44:55.910353,Renault Zoe
REQ-798EC52F,EV-075,EMP-075,2024-03-11T13:32:00,2024-03-11T16:23:11.233943,42,0.56,12.1,22,AC,standard,normal,2024-03-11T12:57:47.220319,BMW i3
REQ-6C34B69F,EV-068,EMP-068,2024-03-11T14:07:00,2024-03-11T18:37:21.177288,77,0.19,270.4,50,DC,standard,normal,2024-03-11T05:02:10.973053,Hyundai Ioniq 5
REQ-7695CFA1,EV-014,EMP-014,2024-03-11T07:50:00,2024-03-11T11:53:24.191508,52,0.34,29.5,22,AC,standard,normal,2024-03-11T00:48:21.626756,Renault Zoe
REQ-6C103055,EV-039,EMP-039,2024-03-11T07:06:00,2024-03-11T09:46:50.067222,77,0.5,32.2,50,DC,priority,normal,2024-03-10T22:59:15.738118,Kia EV6
REQ-54DCD145,EV-018,EMP-018,2024-03-11T09:53:00,2024-03-11T13:25:55.504798,40,0.59,9.1,22,AC,standard,normal,2024-03-11T06:07:33.596139,Nissan Leaf
REQ-1502C627,EV-033,EMP-033,2024-03-11T11:58:00,2024-03-11T18:28:12.579086,82,0.13,49.8,50,DC,standard,normal,2024-03-11T11:22:41.754644,Tesla Model Y
REQ-A233E4D1,EV-005,EMP-005,2024-03-11T07:25:00,2024-03-11T09:56:45.339742,77,0.27,151.8,50,DC,standard,normal,2024-03-10T22:19:33.615290,VW ID.4
REQ-047CFE56,EV-031,EMP-031,2024-03-11T07:45:00,2024-03-11T14:31:39.124111,77,0.43,40.2,50,DC,priority,normal,2024-03-11T06:25:16.074441,Kia EV6
REQ-F2318357,EV-079,EMP-079,2024-03-11T13:05:00,2024-03-11T14:43:26.021488,77,0.7,21.5,50,DC,standard,normal,2024-03-11T05:59:21.253211,Kia EV6
REQ-3A13D32B,EV-022,EMP-022,2024-03-11T11:50:00,2024-03-11T14:11:49.681062,52,0.11,30.7,22,AC,standard,normal,2024-03-11T04:13:29.614099,Renault Zoe
REQ-CB48CD0C,EV-063,EMP-063,2024-03-11T14:50:00,2024-03-11T16:59:39.506795,77,0.65,16.8,50,DC,standard,normal,2024-03-11T08:18:27.950720,Kia EV6
REQ-3D6A9AD0,EV-037,EMP-037,2024-03-11T09:37:00,2024-03-11T13:39:46.858591,77,0.32,30.6,50,DC,priority,normal,2024-03-11T07:48:19.297111,VW ID.4
REQ-2F7B632B,EV-034,EMP-034,2024-03-11T10:48:00,2024-03-11T14:55:13.132168,40,0.57,15.6,22,AC,emergency,normal,2024-03-11T07:34:58.469654,Nissan Leaf
REQ-D46EE282,EV-077,EMP-077,2024-03-11T07:23:00,2024-03-11T13:24:04.772602,77,0.59,26.1,50,DC,priority,normal,2024-03-10T21:59:44.089105,VW ID.4
REQ-7C1239C6,EV-080,EMP-080,2024-03-11T10:30:00,2024-03-11T17:41:56.683039,75,0.39,44.0,50,DC,standard,normal,2024-03-11T02:41:38.649591,Tesla Model 3
REQ-66BA6BE0,EV-045,EMP-045,2024-03-11T12:43:00,2024-03-11T18:55:14.869986,77,0.2,32.9,50,DC,standard,normal,2024-03-11T08:44:03.233985,VW ID.4
REQ-A0418577,EV-058,EMP-058,2024-03-11T07:06:00,2024-03-11T12:24:18.095903,40,0.3,20.3,22,AC,standard,normal,2024-03-10T21:02:07.759449,Nissan Leaf
REQ-C62D6D30,EV-013,EMP-013,2024-03-11T08:43:00,2024-03-11T16:37:52.921029,77,0.5,29.0,50,DC,standard,normal,2024-03-11T01:50:31.302227,VW ID.4
REQ-8C55C8BF,EV-024,EMP-024,2024-03-11T12:47:00,2024-03-11T17:39:22.809999,75,0.63,22.9,50,DC,standard,normal,2024-03-11T06:48:48.958243,Tesla Model 3
REQ-4730D1D4,EV-078,EMP-078,2024-03-11T07:07:00,2024-03-11T09:23:34.550686,52,0.68,11.2,22,AC,standard,normal,2024-03-11T00:48:51.671338,Renault Zoe
REQ-4ABB6840,EV-047,EMP-047,2024-03-11T07:29:00,2024-03-11T12:15:59.473406,77,0.39,35.8,50,DC,standard,normal,2024-03-11T02:41:43.927941,Kia EV6
REQ-4047366B,EV-044,EMP-044,2024-03-11T07:49:00,2024-03-11T11:51:15.912965,77,0.49,35.1,50,DC,standard,normal,2024-03-11T06:33:31.249233,Hyundai Ioniq 5
REQ-16A069A1,EV-060,EMP-060,2024-03-11T08:21:00,2024-03-11T11:58:51.968295,77,0.57,27.4,50,DC,standard,normal,2024-03-10T21:48:26.221991,Hyundai Ioniq 5
